data,nivel,cadastrados,convertidos
2026-04-16,Aprendiz,343,3
2026-04-17,Aprendiz,271,0
2026-04-18,Aprendiz,246,3
2026-04-19,Aprendiz,263,0
2026-04-20,Aprendiz,287,0
2026-04-21,Aprendiz,289,3
2026-04-22,Aprendiz,329,2
2026-04-23,Aprendiz,273,4
2026-04-24,Aprendiz,297,4
2026-04-25,Aprendiz,260,2
2026-04-26,Aprendiz,208,2
2026-04-27,Aprendiz,258,3
2026-04-28,Aprendiz,248,4
2026-04-29,Aprendiz,260,5
2026-04-30,Aprendiz,205,0
2026-05-01,Aprendiz,278,3
2026-05-02,Aprendiz,196,1
2026-05-03,Aprendiz,186,0
2026-05-04,Aprendiz,178,3
2026-05-05,Aprendiz,163,0
2026-05-06,Aprendiz,176,2
2026-05-07,Aprendiz,116,0
2026-05-08,Aprendiz,121,2
2026-05-09,Aprendiz,70,0
2026-05-10,Aprendiz,68,0
2026-05-11,Aprendiz,133,0
2026-05-12,Aprendiz,127,0
2026-05-13,Aprendiz,119,2
2026-05-14,Aprendiz,103,0
2026-05-15,Aprendiz,106,3
2026-05-16,Aprendiz,70,0
2026-05-17,Aprendiz,84,0
2026-05-18,Aprendiz,111,1
2026-05-19,Aprendiz,102,0
2026-05-20,Aprendiz,103,0
2026-05-21,Aprendiz,115,3
2026-05-22,Aprendiz,93,0
2026-05-23,Aprendiz,96,0
2026-05-24,Aprendiz,83,0
2026-05-25,Aprendiz,109,0
2026-05-26,Aprendiz,123,0
2026-05-27,Aprendiz,124,2
2026-05-28,Aprendiz,101,0
2026-05-29,Aprendiz,98,2
2026-05-30,Aprendiz,113,0
2026-05-31,Aprendiz,112,0
2026-06-01,Aprendiz,119,2
2026-06-02,Aprendiz,109,1
