nivel,data,tpv_m0,tpv_m1,tpv_total
Empreendedor,2026-02-08,31723,177297,209019
Especialista,2026-02-08,76762,160818,237579
Top Empreendedor,2026-02-08,94846,430228,525074
Aprendiz,2026-02-09,116179,322992,439172
Empreendedor,2026-02-09,46728,151516,198243
Especialista,2026-02-09,106325,174975,281300
Top Empreendedor,2026-02-09,105174,392257,497432
Aprendiz,2026-02-10,150783,353322,504105
Empreendedor,2026-02-10,65051,142447,207498
Especialista,2026-02-10,115223,173795,289018
Top Empreendedor,2026-02-10,182534,481310,663844
Aprendiz,2026-02-11,192545,329913,522458
Empreendedor,2026-02-11,63047,151256,214303
Especialista,2026-02-11,157313,137317,294630
Top Empreendedor,2026-02-11,142617,433382,576000
Aprendiz,2026-02-12,200611,318088,518700
Empreendedor,2026-02-12,75714,167956,243670
Especialista,2026-02-12,181650,153605,335255
Top Empreendedor,2026-02-12,192834,430629,623462
Aprendiz,2026-02-13,218894,345309,564202
Empreendedor,2026-02-13,116208,189889,306097
Especialista,2026-02-13,175414,174792,350206
Top Empreendedor,2026-02-13,264599,509741,774340
Aprendiz,2026-02-14,343609,375265,718875
Empreendedor,2026-02-14,164658,223485,388143
Especialista,2026-02-14,205036,218153,423190
Top Empreendedor,2026-02-14,349052,583279,932331
Aprendiz,2026-02-15,287106,311180,598286
Empreendedor,2026-02-15,114210,225575,339785
Especialista,2026-02-15,185173,158402,343574
Top Empreendedor,2026-02-15,309688,557912,867600
Aprendiz,2026-02-16,300083,285160,585243
Empreendedor,2026-02-16,131013,170094,301107
Especialista,2026-02-16,179875,129422,309298
Top Empreendedor,2026-02-16,319769,513716,833486
Aprendiz,2026-02-17,223380,234801,458182
Empreendedor,2026-02-17,110294,190653,300947
Especialista,2026-02-17,142838,132815,275652
Top Empreendedor,2026-02-17,290288,388326,678615
Aprendiz,2026-02-18,176816,250721,427537
Empreendedor,2026-02-18,97146,141275,238421
Especialista,2026-02-18,146585,170793,317378
Top Empreendedor,2026-02-18,218868,386360,605229
Aprendiz,2026-02-19,198283,275492,473775
Empreendedor,2026-02-19,137673,186484,324157
Especialista,2026-02-19,177580,186649,364230
Top Empreendedor,2026-02-19,227251,397997,625248
Aprendiz,2026-02-20,271122,395073,666194
Empreendedor,2026-02-20,169388,213476,382864
Especialista,2026-02-20,153478,208385,361863
Top Empreendedor,2026-02-20,330450,495643,826093
Aprendiz,2026-02-21,289474,308780,598254
Empreendedor,2026-02-21,156242,179562,335804
Especialista,2026-02-21,215684,211980,427664
Top Empreendedor,2026-02-21,383425,525390,908815
Aprendiz,2026-02-22,196268,201985,398253
Empreendedor,2026-02-22,97437,163899,261336
Especialista,2026-02-22,138817,146158,284975
Top Empreendedor,2026-02-22,268813,370678,639491
Aprendiz,2026-02-23,156806,244780,401586
Empreendedor,2026-02-23,103061,115569,218630
Especialista,2026-02-23,127937,126405,254343
Top Empreendedor,2026-02-23,263577,334636,598212
Aprendiz,2026-02-24,239118,400999,640117
Empreendedor,2026-02-24,126789,153695,280484
Especialista,2026-02-24,124470,116029,240498
Top Empreendedor,2026-02-24,309118,311250,620368
Aprendiz,2026-02-25,245110,270103,515213
Empreendedor,2026-02-25,140045,121147,261192
Especialista,2026-02-25,134465,130660,265126
Top Empreendedor,2026-02-25,281734,356851,638585
Aprendiz,2026-02-26,214863,246642,461505
Empreendedor,2026-02-26,164615,156953,321568
Especialista,2026-02-26,220976,128611,349587
Top Empreendedor,2026-02-26,299311,349306,648617
Aprendiz,2026-02-27,387985,314397,702382
Empreendedor,2026-02-27,178582,180976,359558
Especialista,2026-02-27,231698,182301,413999
Top Empreendedor,2026-02-27,393219,434090,827308
Aprendiz,2026-02-28,336084,317870,653955
Empreendedor,2026-02-28,192055,205731,397786
Especialista,2026-02-28,219547,218125,437672
Top Empreendedor,2026-02-28,464110,516587,980697
Aprendiz,2026-03-01,63669,251198,522877
Empreendedor,2026-03-01,563,154986,361965
Especialista,2026-03-01,12341,106928,249950
Top Empreendedor,2026-03-01,9153,308041,668877
Aprendiz,2026-03-02,104331,241902,610986
Empreendedor,2026-03-02,4200,154575,273925
Especialista,2026-03-02,10659,172245,355389
Top Empreendedor,2026-03-02,18542,311254,668945
Aprendiz,2026-03-03,74660,282109,579149
Empreendedor,2026-03-03,23784,161600,356854
Especialista,2026-03-03,34534,209868,360254
Top Empreendedor,2026-03-03,77731,347610,818299
Aprendiz,2026-03-04,66178,260077,587675
Empreendedor,2026-03-04,51224,172186,370447
Especialista,2026-03-04,47269,126580,338222
Top Empreendedor,2026-03-04,63862,357930,804609
Aprendiz,2026-03-05,159466,250397,717039
Empreendedor,2026-03-05,49303,163992,381480
Especialista,2026-03-05,62334,152809,361656
Top Empreendedor,2026-03-05,131813,401328,945186
Aprendiz,2026-03-06,163615,362380,879831
Empreendedor,2026-03-06,76196,215929,493583
Especialista,2026-03-06,78197,228886,491208
Top Empreendedor,2026-03-06,147704,444788,1096338
Aprendiz,2026-03-07,166067,328179,895518
Empreendedor,2026-03-07,87335,251363,569031
Especialista,2026-03-07,75227,257885,522715
Top Empreendedor,2026-03-07,203479,495824,1206243
Aprendiz,2026-03-08,119196,239349,603507
Empreendedor,2026-03-08,68351,177942,457220
Especialista,2026-03-08,57117,180186,375514
Top Empreendedor,2026-03-08,149911,352201,911476
Aprendiz,2026-03-09,159614,287371,724072
Empreendedor,2026-03-09,85003,137351,324325
Especialista,2026-03-09,55887,150117,332006
Top Empreendedor,2026-03-09,124283,312125,780941
Aprendiz,2026-03-10,151662,285712,752297
Empreendedor,2026-03-10,57509,202709,395574
Especialista,2026-03-10,92691,168049,427954
Top Empreendedor,2026-03-10,147315,378976,917071
Aprendiz,2026-03-11,188888,225692,735460
Empreendedor,2026-03-11,102791,175160,403071
Especialista,2026-03-11,76990,164534,367418
Top Empreendedor,2026-03-11,168865,358403,868109
Aprendiz,2026-03-12,162024,224057,624236
Empreendedor,2026-03-12,117873,153414,402845
Especialista,2026-03-12,110072,176223,444103
Top Empreendedor,2026-03-12,202928,309063,850544
Aprendiz,2026-03-13,260260,317569,862529
Empreendedor,2026-03-13,120437,188877,486177
Especialista,2026-03-13,121491,187468,451678
Top Empreendedor,2026-03-13,222108,501112,1162823
Aprendiz,2026-03-14,239085,363417,905631
Empreendedor,2026-03-14,167191,227064,607974
Especialista,2026-03-14,109865,196219,479362
Top Empreendedor,2026-03-14,312644,434187,1232056
Aprendiz,2026-03-15,209942,242827,636187
Empreendedor,2026-03-15,126518,172817,462639
Especialista,2026-03-15,110414,138153,372594
Top Empreendedor,2026-03-15,215324,296977,874555
Aprendiz,2026-03-16,208930,191592,628675
Empreendedor,2026-03-16,90142,133803,353333
Especialista,2026-03-16,104796,143273,347362
Top Empreendedor,2026-03-16,313997,321022,924677
Aprendiz,2026-03-17,224155,208691,652598
Empreendedor,2026-03-17,94541,153352,410466
Especialista,2026-03-17,117032,182565,451158
Top Empreendedor,2026-03-17,296114,351503,994628
Aprendiz,2026-03-18,274788,247215,769573
Empreendedor,2026-03-18,119761,162474,433844
Especialista,2026-03-18,138710,135894,396887
Top Empreendedor,2026-03-18,261481,299815,882535
Aprendiz,2026-03-19,226380,217532,657625
Empreendedor,2026-03-19,119023,186691,451341
Especialista,2026-03-19,109542,133490,356076
Top Empreendedor,2026-03-19,249349,329394,889994
Aprendiz,2026-03-20,264196,280242,912675
Empreendedor,2026-03-20,165138,202821,522681
Especialista,2026-03-20,147865,174828,447870
Top Empreendedor,2026-03-20,374859,397156,1244167
Aprendiz,2026-03-21,313295,314131,938908
Empreendedor,2026-03-21,240565,239860,686578
Especialista,2026-03-21,162608,195774,552742
Top Empreendedor,2026-03-21,445966,429614,1368929
Aprendiz,2026-03-22,187573,202367,586790
Empreendedor,2026-03-22,203311,155754,528228
Especialista,2026-03-22,122824,118249,380742
Top Empreendedor,2026-03-22,334486,306866,998774
Aprendiz,2026-03-23,275376,193955,693972
Empreendedor,2026-03-23,129575,137254,363843
Especialista,2026-03-23,128342,135188,355645
Top Empreendedor,2026-03-23,251018,271088,846520
Aprendiz,2026-03-24,241714,201254,670340
Empreendedor,2026-03-24,159008,141683,435807
Especialista,2026-03-24,118292,136753,342090
Top Empreendedor,2026-03-24,315479,320158,957457
Aprendiz,2026-03-25,223533,177255,632693
Empreendedor,2026-03-25,174067,166553,461660
Especialista,2026-03-25,143288,139219,420738
Top Empreendedor,2026-03-25,299701,266398,932187
Aprendiz,2026-03-26,236491,227073,652029
Empreendedor,2026-03-26,174197,148898,452374
Especialista,2026-03-26,161129,143093,408644
Top Empreendedor,2026-03-26,354599,322863,1016433
Aprendiz,2026-03-27,410949,255222,920798
Empreendedor,2026-03-27,235197,163934,563682
Especialista,2026-03-27,182916,181215,527071
Top Empreendedor,2026-03-27,415598,374612,1183839
Aprendiz,2026-03-28,356088,276333,899424
Empreendedor,2026-03-28,316869,227895,743784
Especialista,2026-03-28,198003,193464,533095
Top Empreendedor,2026-03-28,541883,453863,1472583
Aprendiz,2026-03-29,260358,204700,658609
Empreendedor,2026-03-29,243834,159361,580253
Especialista,2026-03-29,160416,107494,368990
Top Empreendedor,2026-03-29,377539,287820,1031577
Aprendiz,2026-03-30,310311,159192,713783
Empreendedor,2026-03-30,201900,149298,455197
Especialista,2026-03-30,141437,153370,383518
Top Empreendedor,2026-03-30,310226,302173,918520
Aprendiz,2026-03-31,373134,229049,824216
Empreendedor,2026-03-31,274872,153314,587666
Especialista,2026-03-31,205049,147370,459252
Top Empreendedor,2026-03-31,428419,336222,1112117
Aprendiz,2026-04-01,41045,346001,872638
Empreendedor,2026-04-01,11063,247496,548320
Especialista,2026-04-01,7665,168041,423042
Top Empreendedor,2026-04-01,22814,544185,1280083
Aprendiz,2026-04-02,107572,386142,1047532
Empreendedor,2026-04-02,19462,396116,756445
Especialista,2026-04-02,13989,231620,547284
Top Empreendedor,2026-04-02,55363,725911,1698550
Aprendiz,2026-04-03,67202,242809,685943
Empreendedor,2026-04-03,19349,223117,497976
Especialista,2026-04-03,14550,157893,418673
Top Empreendedor,2026-04-03,60860,463488,1193722
Aprendiz,2026-04-04,94569,305554,949349
Empreendedor,2026-04-04,22748,246686,627841
Especialista,2026-04-04,27820,203693,556817
Top Empreendedor,2026-04-04,74873,632146,1677495
Aprendiz,2026-04-05,52324,247580,632041
Empreendedor,2026-04-05,22036,161126,427370
Especialista,2026-04-05,33209,140501,377035
Top Empreendedor,2026-04-05,50603,403160,1067847
Aprendiz,2026-04-06,121202,293160,992692
Empreendedor,2026-04-06,24742,161638,429042
Especialista,2026-04-06,30587,150097,381017
Top Empreendedor,2026-04-06,79476,451606,1159962
Aprendiz,2026-04-07,119784,233156,874102
Empreendedor,2026-04-07,29577,154485,479783
Especialista,2026-04-07,41037,141851,444467
Top Empreendedor,2026-04-07,98593,492160,1298093
Aprendiz,2026-04-08,128364,298006,914604
Empreendedor,2026-04-08,39040,202915,475898
Especialista,2026-04-08,37665,199986,510638
Top Empreendedor,2026-04-08,112337,526264,1336122
Aprendiz,2026-04-09,196496,258362,1015407
Empreendedor,2026-04-09,44290,215765,504010
Especialista,2026-04-09,58035,191520,536225
Top Empreendedor,2026-04-09,124270,531532,1427757
Aprendiz,2026-04-10,214854,339711,1326540
Empreendedor,2026-04-10,64397,240952,654253
Especialista,2026-04-10,73710,214239,634403
Top Empreendedor,2026-04-10,193564,583797,1645952
Aprendiz,2026-04-11,222078,398452,1298068
Empreendedor,2026-04-11,80443,327397,792885
Especialista,2026-04-11,110039,220459,699906
Top Empreendedor,2026-04-11,266653,638035,1877758
Aprendiz,2026-04-12,151412,241939,770152
Empreendedor,2026-04-12,61133,192962,579975
Especialista,2026-04-12,74746,171576,498478
Top Empreendedor,2026-04-12,183487,485099,1338896
Aprendiz,2026-04-13,151062,219703,820436
Empreendedor,2026-04-13,55166,175200,468047
Especialista,2026-04-13,67317,134960,437127
Top Empreendedor,2026-04-13,178605,425353,1297943
Aprendiz,2026-04-14,172311,235270,887529
Empreendedor,2026-04-14,69311,176479,463069
Especialista,2026-04-14,77079,118513,449227
Top Empreendedor,2026-04-14,194473,539318,1375219
Aprendiz,2026-04-15,263974,292329,1033784
Empreendedor,2026-04-15,90786,206704,546085
Especialista,2026-04-15,117814,157725,556779
Top Empreendedor,2026-04-15,246855,480062,1435525
Aprendiz,2026-04-16,218672,221046,979250
Empreendedor,2026-04-16,98523,161871,538379
Especialista,2026-04-16,106704,168453,549172
Top Empreendedor,2026-04-16,268293,475613,1469455
Aprendiz,2026-04-17,266696,354112,1209775
Empreendedor,2026-04-17,148255,235927,680875
Especialista,2026-04-17,145783,203391,668721
Top Empreendedor,2026-04-17,272835,554508,1706464
Aprendiz,2026-04-18,250592,365233,1213119
Empreendedor,2026-04-18,145699,252051,788627
Especialista,2026-04-18,191722,189735,736345
Top Empreendedor,2026-04-18,380835,633524,1995795
Aprendiz,2026-04-19,211935,259605,882132
Empreendedor,2026-04-19,108487,205404,623422
Especialista,2026-04-19,106887,161900,492302
Top Empreendedor,2026-04-19,318367,506076,1542995
Aprendiz,2026-04-20,219106,270092,1052626
Empreendedor,2026-04-20,120991,193941,588782
Especialista,2026-04-20,118173,154791,508834
Top Empreendedor,2026-04-20,317616,515367,1588659
Aprendiz,2026-04-21,191562,225063,765633
Empreendedor,2026-04-21,85829,171560,474680
Especialista,2026-04-21,104129,138031,478555
Top Empreendedor,2026-04-21,246441,396895,1241893
Aprendiz,2026-04-22,246009,230387,874518
Empreendedor,2026-04-22,97500,159174,500087
Especialista,2026-04-22,105042,127277,482249
Top Empreendedor,2026-04-22,270407,412383,1400229
Aprendiz,2026-04-23,268834,225654,895727
Empreendedor,2026-04-23,94879,146149,461525
Especialista,2026-04-23,134548,132978,507372
Top Empreendedor,2026-04-23,370005,443231,1432944
Aprendiz,2026-04-24,322148,312808,1116634
Empreendedor,2026-04-24,136780,194291,625143
Especialista,2026-04-24,168753,168230,658988
Top Empreendedor,2026-04-24,417087,570268,1882986
Aprendiz,2026-04-25,413323,324401,1297079
Empreendedor,2026-04-25,165636,270108,770829
Especialista,2026-04-25,207306,212958,746454
Top Empreendedor,2026-04-25,525229,565642,1965546
Aprendiz,2026-04-26,217247,205535,759408
Empreendedor,2026-04-26,128396,194293,581796
Especialista,2026-04-26,140086,154553,512568
Top Empreendedor,2026-04-26,352732,445670,1435323
Aprendiz,2026-04-27,297172,212767,876440
Empreendedor,2026-04-27,131329,123652,474396
Especialista,2026-04-27,172074,99073,503692
Top Empreendedor,2026-04-27,314657,343045,1217321
Aprendiz,2026-04-28,296841,220094,910396
Empreendedor,2026-04-28,128604,150245,491350
Especialista,2026-04-28,179714,111198,505042
Top Empreendedor,2026-04-28,478523,422593,1576606
Aprendiz,2026-04-29,296562,208701,903972
Empreendedor,2026-04-29,155615,148967,552984
Especialista,2026-04-29,149076,131257,527332
Top Empreendedor,2026-04-29,450308,448668,1488499
Aprendiz,2026-04-30,462928,326557,1328873
Empreendedor,2026-04-30,199980,213869,706159
Especialista,2026-04-30,196710,172103,650990
Top Empreendedor,2026-04-30,508231,573889,1878480
Aprendiz,2026-05-01,5024,22170,6609061
Empreendedor,2026-05-01,6089,76911,438074
Especialista,2026-05-01,1694,44021,243106
Top Empreendedor,2026-05-01,16208,210900,1215020
Aprendiz,2026-05-02,568,29697,7184070
Empreendedor,2026-05-02,6184,87561,539023
Especialista,2026-05-02,6861,66964,262111
Top Empreendedor,2026-05-02,20478,248343,1325361
Aprendiz,2026-05-03,667,24078,5153606
Empreendedor,2026-05-03,7937,68376,364948
Especialista,2026-05-03,4378,35949,189768
Top Empreendedor,2026-05-03,17598,177155,1009538
Aprendiz,2026-05-04,635,24475,5503159
Empreendedor,2026-05-04,4978,62844,334508
Especialista,2026-05-04,1470,39054,140634
Top Empreendedor,2026-05-04,20181,134719,836189
Aprendiz,2026-05-05,2107,30799,5983084
Empreendedor,2026-05-05,16787,59074,348954
Especialista,2026-05-05,792,52769,168659
Top Empreendedor,2026-05-05,30332,188144,1000109
Aprendiz,2026-05-06,3471,23888,5808398
Empreendedor,2026-05-06,14389,80393,383610
Especialista,2026-05-06,7095,46578,177985
Top Empreendedor,2026-05-06,21886,185462,929845
Aprendiz,2026-05-07,8654,23415,6934637
Empreendedor,2026-05-07,27132,85340,397634
Especialista,2026-05-07,3989,41424,168800
Top Empreendedor,2026-05-07,46502,163718,1005173
Aprendiz,2026-05-08,19526,42138,8498819
Empreendedor,2026-05-08,44655,111556,551048
Especialista,2026-05-08,23103,57974,261069
Top Empreendedor,2026-05-08,50348,231722,1245264
Aprendiz,2026-05-09,26767,40091,8953898
Empreendedor,2026-05-09,46214,110476,629697
Especialista,2026-05-09,8444,67238,317291
Top Empreendedor,2026-05-09,70990,274257,1471593
Aprendiz,2026-05-10,12326,29845,5709371
Empreendedor,2026-05-10,55474,84631,503943
Especialista,2026-05-10,4508,42329,240081
Top Empreendedor,2026-05-10,37754,165613,1040459
Aprendiz,2026-05-11,12592,20176,6004198
Empreendedor,2026-05-11,17874,65422,318334
Especialista,2026-05-11,9021,34524,161625
Top Empreendedor,2026-05-11,39248,155194,806319
Aprendiz,2026-05-12,8285,22234,6518858
Empreendedor,2026-05-12,28719,87981,355540
Especialista,2026-05-12,7461,34857,145633
Top Empreendedor,2026-05-12,33595,151820,828551
Aprendiz,2026-05-13,14668,23283,6183449
Empreendedor,2026-05-13,31521,87276,358619
Especialista,2026-05-13,6418,43098,162833
Top Empreendedor,2026-05-13,38160,159938,870117
Aprendiz,2026-05-14,7280,30283,6346698
Empreendedor,2026-05-14,45583,97231,392564
Especialista,2026-05-14,9684,60046,203966
Top Empreendedor,2026-05-14,43415,175491,902949
